Student ID,Subject,Course,Year,Consent=1,CAT Score
6216798,DRAM,400,Apr-14,1,16
6315830,DRAM,400,Apr-14,1,13
6235229,DRAM,400,Apr-14,1,20
6236870,DRAM,400,Apr-14,1,19
6222866,DRAM,400,Apr-14,1,21
6328032,DRAM,400,Apr-14,1,15
6326000,DRAM,400,Apr-14,1,19
6239200,DRAM,400,Apr-14,1,23
6290178,DRAM,400,Apr-14,1,17
6294515,DRAM,400,Apr-14,1,22
6222516,DRAM,400,Apr-14,1,17
6242368,DRAM,400,Apr-14,1,19
6217285,DRAM,400,Apr-14,1,17
6259650,DRAM,400,Apr-14,1,16
6231220,DRAM,400,Apr-14,1,18
6232272,DRAM,400,Apr-14,1,22
6312810,DRAM,400,Apr-14,1,25
6212064,DRAM,400,Apr-14,1,24
6203270,DRAM,400,Apr-14,1,17
6305092,DRAM,400,Apr-14,1,9
6297052,DRAM,400,Apr-14,1,12
6206085,DRAM,400,Apr-14,1,26
6179237,DRAM,400,Apr-14,1,16
6198869,DRAM,400,Apr-14,1,28
6231284,DRAM,400,Apr-14,1,20
6210140,DRAM,400,Apr-14,1,
6247551,DRAM,400,Apr-14,1,20
6226168,DRAM,400,Apr-14,1,29
6301057,DRAM,400,Apr-14,1,25
6273284,DRAM,400,Apr-14,1,19
6267151,DRAM,400,Apr-14,1,16
6183919,DRAM,400,Apr-14,1,24
6232460,DRAM,400,Apr-14,1,29
6228449,DRAM,400,Apr-14,1,21
6296180,DRAM,400,Apr-14,1,21
6302573,DRAM,400,Apr-14,1,23
6261004,DRAM,400,Apr-14,1,21
6198644,DRAM,400,Apr-14,1,23
6239980,DRAM,400,Apr-14,1,29
6187355,DRAM,400,Apr-14,1,24
6232764,DRAM,400,Apr-14,1,24
6314770,DRAM,400,Apr-14,1,19
